Household_ID,Age_of_Household_Head,Household_Income,Education_Level,Family_Size,Owns_House,Urban_Rural
H1000,58,103806,Post-Grad,5,Yes,Rural
H1001,71,142982,Post-Grad,7,No,Rural
H1002,48,115989,Graduate,4,No,Urban
H1003,34,95982,Graduate,6,Yes,Urban
H1004,62,126626,Secondary,4,Yes,Urban
H1005,27,124176,Graduate,3,Yes,Urban
H1006,40,136278,Secondary,7,No,Rural
H1007,58,127409,Secondary,8,Yes,Urban
H1008,38,28419,Secondary,4,No,Rural
H1009,42,55015,Secondary,2,No,Urban
H1010,30,127096,Secondary,3,Yes,Rural
H1011,30,112059,Primary,1,Yes,Rural
H1012,43,115687,Graduate,8,No,Urban
H1013,72,92939,Secondary,3,No,Urban
H1014,55,110878,Post-Grad,7,Yes,Urban
H1015,59,67623,Graduate,5,Yes,Urban
H1016,43,80450,Graduate,5,Yes,Rural
H1017,22,98426,Secondary,7,Yes,Urban
H1018,41,122845,Primary,9,Yes,Urban
H1019,72,48585,Secondary,5,No,Rural
H1020,21,114225,Primary,1,No,Urban
H1021,43,69044,Post-Grad,1,No,Urban
H1022,63,114556,Graduate,2,No,Urban
H1023,49,7693,Post-Grad,6,Yes,Urban
H1024,57,100259,Primary,9,Yes,Urban
H1025,21,30939,Primary,8,Yes,Rural
H1026,40,23047,Post-Grad,5,No,Urban
H1027,52,31105,Primary,1,No,Urban
H1028,31,80766,Post-Grad,7,Yes,Urban
H1029,41,49262,Graduate,5,Yes,Urban
H1030,63,130117,Post-Grad,6,No,Urban
H1031,44,28776,Graduate,7,No,Rural
H1032,68,133376,Post-Grad,3,Yes,Urban
H1033,46,142848,Primary,3,Yes,Rural
H1034,61,97787,Post-Grad,5,No,Rural
H1035,47,132948,Primary,6,Yes,Urban
H1036,35,60016,Post-Grad,9,Yes,Urban
H1037,34,145546,Post-Grad,5,Yes,Urban
H1038,66,26959,Secondary,1,No,Urban
H1039,70,141602,Primary,4,No,Rural
H1040,63,124101,Secondary,5,No,Urban
H1041,74,8748,Primary,5,No,Urban
H1042,71,18545,Secondary,7,No,Urban
H1043,22,132659,Graduate,4,No,Urban
H1044,56,78530,Post-Grad,1,No,Urban
H1045,70,98557,Primary,5,Yes,Urban
H1046,26,66087,Primary,7,Yes,Rural
H1047,40,73840,Post-Grad,6,Yes,Rural
H1048,28,123451,Primary,5,Yes,Urban
H1049,58,56005,Primary,4,Yes,Urban
H1050,37,44353,Secondary,2,Yes,Urban
H1051,23,57733,Primary,4,Yes,Rural
H1052,44,70318,Graduate,3,No,Urban
H1053,33,72172,Graduate,1,No,Rural
H1054,69,98264,Post-Grad,8,Yes,Urban
H1055,28,31736,Primary,5,Yes,Urban
H1056,45,117859,Post-Grad,4,No,Urban
H1057,72,117181,Graduate,8,Yes,Urban
H1058,21,136926,Primary,7,Yes,Rural
H1059,39,95084,Primary,2,No,Rural
H1060,47,12392,Post-Grad,1,Yes,Urban
H1061,66,60680,Graduate,4,No,Urban
H1062,26,55859,Primary,8,Yes,Rural
H1063,63,130657,Post-Grad,2,No,Rural
H1064,27,75467,Graduate,3,No,Rural
H1065,66,103506,Post-Grad,1,No,Rural
H1066,54,114751,Secondary,1,Yes,Urban
H1067,33,123906,Primary,3,No,Rural
H1068,36,148760,Secondary,5,Yes,Urban
H1069,55,30342,Graduate,3,Yes,Rural
H1070,69,111308,Secondary,1,Yes,Rural
H1071,59,111081,Secondary,1,Yes,Rural
H1072,23,94045,Graduate,8,No,Rural
H1073,21,39698,Post-Grad,2,No,Rural
H1074,25,115078,Secondary,3,Yes,Urban
H1075,73,85623,Post-Grad,2,Yes,Urban
H1076,61,27671,Secondary,3,No,Rural
H1077,23,98384,Post-Grad,7,Yes,Rural
H1078,73,91202,Graduate,1,No,Urban
H1079,48,56663,Secondary,8,Yes,Rural
H1080,37,20708,Graduate,2,Yes,Rural
H1081,45,96906,Secondary,3,No,Urban
H1082,63,54811,Graduate,9,Yes,Rural
H1083,53,138883,Graduate,7,No,Rural
H1084,29,61250,Secondary,4,Yes,Urban
H1085,55,117547,Secondary,5,Yes,Urban
H1086,33,129249,Secondary,2,Yes,Urban
H1087,50,39754,Primary,8,No,Rural
H1088,67,147483,Post-Grad,4,Yes,Urban
H1089,34,138983,Primary,9,Yes,Urban
H1090,27,144752,Primary,5,Yes,Urban
H1091,33,89896,Graduate,9,Yes,Urban
H1092,42,76295,Secondary,4,No,Urban
H1093,59,105689,Post-Grad,5,No,Urban
H1094,40,16111,Graduate,9,Yes,Rural
H1095,35,42504,Primary,8,No,Rural
H1096,64,137874,Secondary,3,Yes,Urban
H1097,37,13155,Graduate,1,Yes,Urban
H1098,66,44384,Secondary,3,Yes,Urban
H1099,72,117561,Graduate,4,No,Rural
H1100,43,52254,Secondary,2,No,Rural
H1101,45,26918,Primary,1,No,Rural
H1102,44,90981,Post-Grad,7,No,Rural
H1103,64,35306,Primary,8,No,Rural
H1104,60,51843,Post-Grad,7,No,Rural
H1105,48,125975,Secondary,5,No,Rural
H1106,34,101601,Graduate,1,No,Rural
H1107,64,112512,Primary,7,No,Rural
H1108,20,116472,Post-Grad,7,Yes,Urban
H1109,44,138121,Primary,9,No,Urban
H1110,26,108727,Post-Grad,3,No,Urban
H1111,28,117893,Primary,9,No,Urban
H1112,43,25932,Post-Grad,1,No,Rural
H1113,20,122796,Post-Grad,1,No,Rural
H1114,63,34855,Secondary,4,No,Urban
H1115,27,12400,Post-Grad,9,No,Rural
H1116,43,122858,Secondary,6,No,Urban
H1117,30,20151,Post-Grad,3,No,Rural
H1118,70,71690,Graduate,1,No,Urban
H1119,36,9499,Graduate,4,No,Rural
H1120,27,11295,Graduate,9,Yes,Rural
H1121,54,125885,Post-Grad,3,Yes,Urban
H1122,54,131071,Secondary,9,No,Rural
H1123,52,64040,Secondary,7,No,Urban
H1124,24,17183,Post-Grad,4,Yes,Urban
H1125,61,148946,Graduate,3,No,Urban
H1126,58,121336,Graduate,5,Yes,Urban
H1127,60,37711,Secondary,5,Yes,Rural
H1128,47,10539,Graduate,3,Yes,Rural
H1129,26,131063,Primary,9,Yes,Rural
H1130,28,138629,Secondary,4,Yes,Urban
H1131,27,43360,Graduate,5,No,Rural
H1132,31,138272,Secondary,4,Yes,Urban
H1133,53,26357,Primary,5,No,Rural
H1134,52,124121,Secondary,7,No,Rural
H1135,67,82505,Secondary,9,Yes,Rural
H1136,74,7869,Secondary,7,Yes,Urban
H1137,42,55108,Secondary,5,No,Rural
H1138,43,117296,Primary,7,Yes,Rural
H1139,56,99179,Post-Grad,5,Yes,Urban
H1140,54,95272,Secondary,3,No,Rural
H1141,63,43467,Secondary,7,No,Urban
H1142,59,28328,Graduate,2,Yes,Rural
H1143,41,96412,Secondary,9,No,Urban
H1144,46,140059,Graduate,1,Yes,Urban
H1145,54,63871,Post-Grad,6,Yes,Rural
H1146,20,133391,Primary,7,Yes,Urban
H1147,54,91416,Primary,8,No,Urban
H1148,56,75271,Post-Grad,9,No,Urban
H1149,66,49064,Primary,2,No,Urban
