Employee_ID,Department,Age,Salary,Projects_Completed,Working_Hours,Performance_Score (0-100),Promotion_Status
EMP1000,R&D,21,133103,23,54,77,Yes
EMP1001,Sales,28,40620,14,57,84,Yes
EMP1002,Marketing,43,55461,8,43,90,Yes
EMP1003,R&D,58,45750,4,33,81,No
EMP1004,IT,26,123426,7,35,63,No
EMP1005,Marketing,42,113719,20,45,90,Yes
EMP1006,Marketing,45,34472,19,57,69,No
EMP1007,R&D,38,94263,15,50,76,Yes
EMP1008,Finance,37,137036,22,57,96,Yes
EMP1009,IT,32,82602,4,30,98,No
EMP1010,R&D,26,50523,19,35,92,Yes
EMP1011,IT,46,55766,9,38,78,Yes
EMP1012,IT,47,128262,21,44,50,No
EMP1013,Marketing,28,91060,13,41,53,No
EMP1014,Sales,39,34079,14,32,62,No
EMP1015,IT,21,33399,23,40,92,Yes
EMP1016,Operations,49,85726,14,44,55,No
EMP1017,Marketing,55,117906,22,32,89,Yes
EMP1018,Finance,34,41532,10,43,60,No
EMP1019,Sales,55,147689,16,31,94,Yes
EMP1020,Operations,40,107357,5,58,94,No
EMP1021,Operations,33,68162,23,33,43,No
EMP1022,Finance,58,28749,6,55,72,No
EMP1023,Sales,28,36353,2,48,93,No
EMP1024,Marketing,40,137313,13,41,86,Yes
EMP1025,HR,53,53477,13,31,53,No
EMP1026,Sales,46,49570,19,46,58,No
EMP1027,Finance,59,111373,18,32,98,Yes
EMP1028,Operations,41,36437,19,39,44,No
EMP1029,Marketing,29,63104,1,45,75,No
EMP1030,Sales,44,88370,8,51,70,No
EMP1031,HR,57,29551,22,38,84,Yes
EMP1032,HR,37,93359,16,40,57,No
EMP1033,IT,44,79880,2,50,83,No
EMP1034,IT,41,37916,8,44,70,No
EMP1035,R&D,59,105703,6,32,94,No
EMP1036,Finance,59,66445,16,45,69,No
EMP1037,Sales,33,72636,23,59,60,No
EMP1038,Sales,31,98927,11,50,86,Yes
EMP1039,R&D,39,103194,17,50,69,No
EMP1040,Operations,31,54685,23,50,94,Yes
EMP1041,Operations,33,76134,19,57,80,Yes
EMP1042,R&D,21,113916,11,41,43,No
EMP1043,Operations,39,132967,8,52,44,No
EMP1044,IT,32,119455,22,34,80,Yes
EMP1045,Sales,28,92847,4,36,84,No
EMP1046,R&D,28,64993,11,38,49,No
EMP1047,Sales,32,69333,8,50,66,No
EMP1048,HR,53,133574,9,47,55,No
EMP1049,IT,46,83865,2,50,69,No
EMP1050,Marketing,59,104096,16,37,52,No
EMP1051,IT,48,74756,6,41,75,No
EMP1052,R&D,25,147863,21,49,60,No
EMP1053,Marketing,28,86192,21,31,84,Yes
EMP1054,HR,45,85686,19,39,92,Yes
EMP1055,R&D,47,73733,8,48,79,Yes
EMP1056,Finance,43,129089,14,38,84,Yes
EMP1057,Sales,50,50993,24,54,54,No
EMP1058,HR,43,55492,16,53,59,No
EMP1059,Sales,40,45981,12,37,59,No
EMP1060,Operations,38,49143,5,53,84,No
EMP1061,Finance,38,102603,24,53,94,Yes
EMP1062,Finance,22,114452,24,53,98,Yes
EMP1063,HR,24,85277,19,30,44,No
EMP1064,Finance,50,132044,18,35,93,Yes
EMP1065,Marketing,53,136957,9,41,93,Yes
EMP1066,Finance,56,74990,2,54,99,No
EMP1067,Sales,38,87888,20,53,71,No
EMP1068,Sales,57,94351,12,48,45,No
EMP1069,R&D,39,122372,2,56,69,No
EMP1070,Sales,48,74999,10,46,65,No
EMP1071,R&D,40,128013,1,31,76,No
EMP1072,Sales,53,127811,4,40,52,No
EMP1073,Marketing,32,129879,12,47,68,No
EMP1074,R&D,35,95309,9,52,44,No
EMP1075,IT,59,37446,4,57,64,No
EMP1076,Operations,22,55733,9,51,52,No
EMP1077,HR,49,144156,6,40,63,No
EMP1078,Sales,30,101000,1,47,70,No
EMP1079,Finance,22,73632,10,37,59,No
EMP1080,Sales,31,46576,14,44,94,Yes
EMP1081,Finance,33,28320,22,38,47,No
EMP1082,Operations,30,35750,18,44,99,Yes
EMP1083,Operations,34,128002,6,36,48,No
EMP1084,Operations,38,78463,18,49,60,No
EMP1085,Finance,29,51572,20,42,90,Yes
EMP1086,Sales,59,143361,16,42,59,No
EMP1087,Operations,48,42948,15,30,54,No
EMP1088,Marketing,23,141528,16,49,65,No
EMP1089,R&D,40,63826,8,33,93,Yes
EMP1090,Finance,26,114051,13,53,81,Yes
EMP1091,Finance,47,52867,23,33,50,No
EMP1092,Sales,22,85231,11,33,76,Yes
EMP1093,Finance,49,91262,7,42,80,No
EMP1094,Finance,58,116356,17,31,50,No
EMP1095,Operations,23,97233,18,57,66,No
EMP1096,Sales,36,69678,22,55,69,No
EMP1097,Operations,50,132561,23,52,58,No
EMP1098,R&D,22,37963,19,44,73,No
EMP1099,R&D,37,89360,13,33,77,Yes
EMP1100,Operations,32,74434,15,56,62,No
EMP1101,R&D,55,91617,23,35,92,Yes
EMP1102,Sales,21,45269,22,32,40,No
EMP1103,HR,35,142569,22,36,42,No
EMP1104,Operations,46,101312,1,35,42,No
EMP1105,Marketing,57,122352,16,32,67,No
EMP1106,Marketing,41,104732,5,33,53,No
EMP1107,Finance,51,142658,3,39,91,No
EMP1108,R&D,45,132648,23,59,69,No
EMP1109,Marketing,43,106494,10,50,97,Yes
EMP1110,Finance,44,113905,19,38,93,Yes
EMP1111,HR,58,102225,5,59,44,No
EMP1112,Sales,48,107867,7,35,88,No
EMP1113,Sales,41,62528,14,58,54,No
EMP1114,Sales,38,149597,3,49,77,No
EMP1115,Marketing,56,103972,13,56,53,No
EMP1116,HR,55,90602,13,40,53,No
EMP1117,Marketing,29,121261,10,36,96,Yes
EMP1118,R&D,58,115748,2,47,98,No
EMP1119,Marketing,50,148193,6,33,88,No
EMP1120,HR,54,58332,8,34,47,No
EMP1121,HR,52,149481,4,33,47,No
EMP1122,R&D,23,115937,12,33,58,No
EMP1123,HR,23,103929,15,56,71,No
EMP1124,HR,48,94206,8,42,70,No
EMP1125,Sales,35,116137,7,45,68,No
EMP1126,R&D,43,27251,14,54,80,Yes
EMP1127,IT,31,70717,23,43,50,No
EMP1128,IT,52,124108,19,40,84,Yes
EMP1129,HR,56,52027,14,58,52,No
EMP1130,IT,53,122382,22,31,66,No
EMP1131,IT,44,111551,13,51,95,Yes
EMP1132,HR,59,34583,21,43,58,No
EMP1133,IT,54,75387,1,53,65,No
EMP1134,Marketing,48,48104,19,53,92,Yes
EMP1135,Finance,57,37224,1,56,90,No
EMP1136,R&D,27,85624,4,36,76,No
EMP1137,Finance,24,81058,10,55,87,Yes
EMP1138,HR,57,129320,3,40,48,No
EMP1139,Sales,21,121372,20,33,67,No
EMP1140,R&D,21,54299,9,36,71,No
EMP1141,HR,40,103572,3,58,91,No
EMP1142,Sales,39,110469,6,45,93,No
EMP1143,Finance,49,102928,6,55,42,No
EMP1144,HR,30,98474,23,35,90,Yes
EMP1145,R&D,38,29141,12,56,71,No
EMP1146,R&D,48,48350,23,35,44,No
EMP1147,Operations,55,100082,1,31,47,No
EMP1148,Marketing,51,95871,16,53,53,No
EMP1149,IT,47,30077,24,37,95,Yes
EMP1150,Sales,31,71015,5,59,42,No
EMP1151,Operations,58,96147,9,56,63,No
EMP1152,IT,25,84180,10,36,52,No
EMP1153,IT,28,65857,13,56,82,Yes
EMP1154,HR,54,126196,15,54,68,No
EMP1155,IT,32,84840,12,53,47,No
EMP1156,Marketing,58,84902,5,43,90,No
EMP1157,R&D,21,30577,5,38,81,No
EMP1158,Operations,51,45002,18,44,70,No
EMP1159,IT,24,75711,12,54,65,No
EMP1160,HR,25,64451,3,51,57,No
EMP1161,Marketing,50,124811,7,47,97,No
EMP1162,Finance,44,74103,17,41,57,No
EMP1163,R&D,23,53647,19,52,96,Yes
EMP1164,R&D,31,59831,18,48,46,No
EMP1165,Operations,24,143330,1,42,87,No
EMP1166,R&D,46,125304,24,36,77,Yes
EMP1167,IT,47,121498,5,54,87,No
EMP1168,HR,47,138870,2,39,55,No
EMP1169,R&D,26,120119,1,59,94,No
EMP1170,R&D,35,91830,7,39,95,No
EMP1171,Finance,50,105632,11,31,99,Yes
EMP1172,Finance,57,61833,11,43,72,No
EMP1173,Sales,57,137394,18,42,95,Yes
EMP1174,Marketing,57,117864,17,51,90,Yes
EMP1175,IT,55,49398,2,58,42,No
EMP1176,R&D,43,149633,7,35,77,No
EMP1177,R&D,26,86554,7,38,43,No
EMP1178,HR,24,75755,10,42,75,Yes
EMP1179,Sales,38,42706,22,38,43,No
EMP1180,Marketing,29,47340,21,42,81,Yes
EMP1181,Sales,49,89994,3,34,48,No
EMP1182,Operations,33,88884,12,43,79,Yes
EMP1183,Marketing,37,109361,3,34,90,No
EMP1184,R&D,52,42482,11,38,56,No
EMP1185,R&D,42,79225,12,37,56,No
EMP1186,Marketing,24,83849,4,36,72,No
EMP1187,R&D,25,99854,16,37,59,No
EMP1188,IT,57,66256,20,51,53,No
EMP1189,Marketing,33,134545,18,32,61,No
EMP1190,Sales,54,133721,4,52,91,No
EMP1191,Marketing,42,106110,22,53,66,No
EMP1192,R&D,43,138606,6,44,82,No
EMP1193,IT,23,39650,21,37,42,No
EMP1194,IT,54,71118,15,30,63,No
EMP1195,Operations,52,53930,1,36,69,No
EMP1196,Sales,41,110707,3,48,47,No
EMP1197,Finance,41,125400,5,31,61,No
EMP1198,Finance,31,36801,22,43,64,No
EMP1199,Marketing,59,76360,17,47,99,Yes
EMP1200,Operations,24,112908,14,59,49,No
EMP1201,HR,21,41559,9,44,88,Yes
EMP1202,Marketing,48,57334,3,43,68,No
EMP1203,Operations,44,130473,13,53,79,Yes
EMP1204,Sales,55,38288,3,54,93,No
EMP1205,Sales,33,47398,11,48,40,No
EMP1206,Sales,54,101230,2,59,91,No
EMP1207,Sales,31,37191,24,48,60,No
EMP1208,Sales,56,43051,15,51,78,Yes
EMP1209,Operations,37,86715,13,56,63,No
EMP1210,Operations,55,35737,19,55,48,No
EMP1211,IT,38,90140,22,46,99,Yes
EMP1212,Finance,42,50251,16,51,83,Yes
EMP1213,R&D,44,75975,18,57,93,Yes
