StudentID,Date,BehaviorType,Notes,note 1 ,note 2,note 3,note 4,note 5,note 6,note 7
S0001,6/29/2024,Absent without notice,Talk admit owner.,Talk,admit,owner,,,,
S0001,1/13/2025,Participative,Indeed new hour sometimes vote.,Indeed,new,hour,sometimes,vote,,
S0001,7/11/2024,Absent without notice,Budget matter prevent eat.,Budget,matter,prevent,eat,,,
S0001,12/17/2024,Helpful,Able act speak end subject central.,Able,act,speak,end,subject,central,
S0001,12/31/2024,Late,Able benefit create.,Able,benefit,create,,,,
S0002,6/16/2024,Helpful,Become interview race soldier participant.,Become,interview,race,soldier,participant,,
S0002,12/31/2024,Helpful,Six realize accept which.,Six,realize,accept,which,,,
S0002,7/25/2024,Participative,Trade half firm.,Trade,half,firm,,,,
S0002,4/5/2025,Absent without notice,Character final beyond break site subject.,Character,final,beyond,break,site,subject,
S0002,7/13/2024,Participative,Year people sound source.,Year,people,sound,source,,,
S0002,1/24/2025,Absent without notice,Different friend bag determine challenge culture.,Different,friend,bag,determine,challenge,culture,
S0002,7/27/2024,Participative,Himself ever art southern population strategy research.,Himself,ever,art,southern,population,strategy,research
S0002,1/20/2025,Helpful,Matter when grow.,Matter,when,grow,,,,
S0003,10/1/2024,Late,Thus wind three grow.,Thus,wind,three,grow,,,
S0003,11/27/2024,Disruptive,Stage figure third cost.,Stage,figure,third,cost,,,
S0003,11/8/2024,Late,Understand seem score hope western central behind.,Understand,seem,score,hope,western,central,behind
S0003,11/11/2024,Absent without notice,Member quite sell it set market.,Member,quite,sell,it,set,market,
S0003,11/20/2024,Disruptive,Live particularly daughter lose head probably.,Live,particularly,daughter,lose,head,probably,
S0003,11/16/2024,Participative,Structure instead else dream produce body all.,Structure,instead,else,dream,produce,body,all
S0004,3/3/2025,Absent without notice,Fast itself religious light region inside last.,Fast,itself,religious,light,region,inside,last
S0004,9/18/2024,Late,Together certain little thing.,Together,certain,little,thing,,,
S0004,4/24/2025,Late,Heavy defense yes avoid.,Heavy,defense,yes,avoid,,,
S0004,12/30/2024,Late,Foot even notice why yet bed raise.,Foot,even,notice,why,yet,bed,raise
S0004,1/25/2025,Helpful,Rate care contain view reflect measure bar.,Rate,care,contain,view,reflect,measure,bar
S0004,10/9/2024,Helpful,Shoulder throw gun popular police.,Shoulder,throw,gun,popular,police,,
S0005,10/28/2024,Absent without notice,Scene staff already hit.,Scene,staff,already,hit,,,
S0005,10/22/2024,Participative,Song reflect positive analysis against need visit.,Song,reflect,positive,analysis,against,need,visit
S0005,7/27/2024,Helpful,Design show much realize free state strategy.,Design,show,much,realize,free,state,strategy
S0005,5/18/2025,Participative,Increase great go speak well find.,Increase,great,go,speak,well,find,
S0006,5/30/2025,Disruptive,List field difficult how top.,List,field,difficult,how,top,,
S0006,9/3/2024,Disruptive,Include offer system both.,Include,offer,system,both,,,
S0006,11/30/2024,Absent without notice,Close exactly future up community mouth finish.,Close,exactly,future,up,community,mouth,finish
S0006,3/4/2025,Late,Tv tonight he.,Tv,tonight,he,,,,
S0006,1/8/2025,Late,Professor effect me quality.,Professor,effect,me,quality,,,
S0006,6/14/2025,Late,Police then total week day.,Police,then,total,week,day,,
S0006,11/21/2024,Absent without notice,Stuff his coach education.,Stuff,his,coach,education,,,
S0006,12/16/2024,Absent without notice,Tree financial natural company article throw machine.,Tree,financial,natural,company,article,throw,machine
S0007,8/25/2024,Absent without notice,Raise family amount defense full control.,Raise,family,amount,defense,full,control,
S0007,7/6/2024,Helpful,Style into director rest get.,Style,into,director,rest,get,,
S0007,6/16/2025,Helpful,Might point government successful.,Might,point,government,successful,,,
S0007,5/14/2025,Absent without notice,House serve station yard use with know.,House,serve,station,yard,use,with,know
S0007,3/7/2025,Late,Human notice paper agreement.,Human,notice,paper,agreement,,,
S0007,12/9/2024,Participative,Little place can oil.,Little,place,can,oil,,,
S0007,3/16/2025,Disruptive,According into hour around.,According,into,hour,around,,,
S0007,5/4/2025,Disruptive,Subject since head international throughout machine number you.,Subject,since,head,international,throughout,machine,number
